name,contact,location,type
ရွှေကွတ်ခိုင်,"09-953832339, 09-43016082","Mandalay, 58/36D",ရှမ်းခေါက်ဆွဲ ပြင်ဆင်ထားပါသည်။ အကူအညီလိုအပ်သူများ စိတ်ချလက်ချ အခမဲ့ သုံးဆောင်နိုင်ပါသည်။
Beer Prince,,"Mandalay, 65/108",ထမင်းကြော်၊ ခေါက်ဆွဲကြော်နှင့် ရေသန့်များ ရရှိနိုင်ပါသည်။
xiaolajiao အကင်ဆိုင်,,"Mandalay, 63/39*40",အခမဲ့ ထမင်းဖြူ ရယူနိုင်ပါသည်။
39° bar,,"Mandalay, 54/30",အခမဲ့ ထမင်းဖြူ နှင့် ရေသန့်ရရှိပါသည်။
007 beach bar,,"Mandalay, ကွင်းပြင်လွတ်၌",ခိုလှုံနိုင်ပြီး အခမဲ့ ထမင်းကြော်သုံးဆောင်နိုင်ပါသည်။
WeiDongNan အရှေ့တောင်အရသာစားသောက်ဆိုင်,,"Mandalay, 60/35*35A",
IN.718 bar,"09-888599899, 09-665713227","Mandalay, 55*56/39D",အခမဲ့ ထမင်းကြော်နှင့် ထမင်းဖြူ ရယူနိုင်ပါသည်။
