name,iOS,Android,Web,thumbnail
"My Earthquake Alerts - Map","https://apps.apple.com/mm/app/my-earthquake-alerts-feed/id975709372","https://play.google.com/store/apps/details?id=com.jrustonapps.myearthquakealerts&pcampaignid=web_share",,"https://play-lh.googleusercontent.com/3JFZp4OsPr-LBqGS6TWCy8u-5UdjilVpIvCjOUfBGbXid1qVTyTBCsKNQ3moFuKBHA8=w240-h480-rw"
Myanmar Earthquake Monitor,,,"https://myanmar-quake-tracker-1.onrender.com/","https://i.abcnewsfe.com/a/f802e596-5378-4306-b5ae-40565e640971/earthquake-25-ap-gmh-250328_1743175546966_hpEmbed_4x3.jpg"
